Code,Name,Zone,Latitude,Longitude
C24A3,CAMPO 24 DE AGOSTO,PRT1,41.14862365,-8.598763355
PDR3,LARGO DO PADRÃO,PRT1,41.14741447,-8.601625478
COLS,COLISEU DO PORTO,PRT1,41.14665477,-8.604645572
PRDJ,PR. D. JOÃO I,PRT1,41.14758013,-8.609073542
PRFL,PR.FILIPA DE LENCASTRE,PRT1,41.14827627,-8.612715212
GGF,GUIL. G. FERNANDES,PRT1,41.14759063,-8.614725094
CMO,CARMO,PRT1,41.14726617,-8.6166184
HSA5,HOSP. ST. ANTÓNIO,PRT1,41.14779355,-8.622404305
PAL3,PALÁCIO,PRT1,41.14951555,-8.625466477
PRG1,PR. DA GALIZA,PRT1,41.15346994,-8.626316097
BS1,BOAVISTA - B.SUCESSO,PRT1,41.15640955,-8.627919138
BVCT1,BOAVISTA CORREIOS,PRT1,41.15821559,-8.627843112
CZV3,CRUZ VERMELHA,PRT1,41.15957015,-8.625277779
RA1,RAMADA ALTA,PRT1,41.16035831,-8.622043094
MRR1,MARRACUENE,PRT1,41.1616625,-8.620253767
MTCV,MONTE CATIVO,PRT1,41.16229637,-8.616014975
CTP,CLUBE TÉNIS PORTO,PRT1,41.16205528,-8.614063312
AQL2,ANTERO DE QUENTAL,PRT1,41.16164725,-8.610925388
FG2,FARIA GUIMARÃES,PRT1,41.16123554,-8.608531334
MPL11,MARQUÊS,PRT1,41.16073904,-8.605957888
RALG,R. DA ALEGRIA,PRT1,41.15977391,-8.602404711
SI1,S.TO ISIDRO,PRT1,41.15793931,-8.601730168
ESCN1,ESCOLA NORMAL,PRT1,41.15538758,-8.602730738
MOR1,MOREIRA,PRT1,41.15380924,-8.603374648
STP1,SANTOS POUSADA,PRT1,41.15324633,-8.600146813
MRD,MOREDA,PRT1,41.1508598,-8.600208686
C24A3,CAMPO 24 DE AGOSTO,PRT1,41.14862365,-8.598763355
